Date,PPT[mm]
1/1/2016,
1/2/2016,
1/3/2016,
1/4/2016,
1/5/2016,
1/6/2016,
1/7/2016,
1/8/2016,
1/9/2016,
1/10/2016,
1/11/2016,
1/12/2016,
1/13/2016,
1/14/2016,
1/15/2016,
1/16/2016,
1/17/2016,
1/18/2016,
1/19/2016,
1/20/2016,
1/21/2016,
1/22/2016,
1/23/2016,
1/24/2016,
1/25/2016,
1/26/2016,
1/27/2016,
1/28/2016,
1/29/2016,
1/30/2016,
2/1/2016,
2/2/2016,
2/3/2016,
2/4/2016,
2/5/2016,
2/6/2016,
2/7/2016,
2/8/2016,
2/9/2016,
2/10/2016,
2/11/2016,
2/12/2016,
2/13/2016,
2/14/2016,
2/15/2016,
2/16/2016,
2/17/2016,
2/18/2016,
2/19/2016,
2/20/2016,
2/21/2016,
2/22/2016,
2/23/2016,
2/24/2016,
2/25/2016,
2/26/2016,
2/27/2016,
3/1/2016,
3/2/2016,
3/3/2016,
3/4/2016,
3/5/2016,
3/6/2016,
3/7/2016,
3/8/2016,
3/9/2016,
3/10/2016,
3/11/2016,
3/12/2016,
3/13/2016,
3/14/2016,
3/15/2016,
3/16/2016,
3/17/2016,
3/18/2016,
3/19/2016,
3/20/2016,
3/21/2016,
3/22/2016,
3/23/2016,
3/24/2016,
3/25/2016,
3/26/2016,
3/27/2016,
3/28/2016,
3/29/2016,
3/30/2016,
4/1/2016,
4/2/2016,
4/3/2016,
4/4/2016,
4/5/2016,
4/6/2016,
4/7/2016,
4/8/2016,
4/9/2016,
4/10/2016,
4/11/2016,
4/12/2016,
4/13/2016,
4/14/2016,
4/15/2016,
4/16/2016,
4/17/2016,
4/18/2016,
4/19/2016,
4/20/2016,
4/21/2016,
4/22/2016,
4/23/2016,
4/24/2016,
4/25/2016,
4/26/2016,
4/27/2016,
4/28/2016,
4/29/2016,
5/1/2016,
5/2/2016,
5/3/2016,
5/4/2016,
5/5/2016,
5/6/2016,
5/7/2016,
5/8/2016,
5/9/2016,
5/10/2016,
5/11/2016,
5/12/2016,
5/13/2016,
5/14/2016,
5/15/2016,
5/16/2016,
5/17/2016,
5/18/2016,
5/19/2016,
5/20/2016,
5/21/2016,
5/22/2016,
5/23/2016,
5/24/2016,
5/25/2016,
5/26/2016,
5/27/2016,
5/28/2016,
5/29/2016,
5/30/2016,
6/1/2016,
6/2/2016,
6/3/2016,
6/4/2016,
6/5/2016,
6/6/2016,
6/7/2016,
6/8/2016,
6/9/2016,
6/10/2016,
6/11/2016,
6/12/2016,
6/13/2016,
6/14/2016,
6/15/2016,
6/16/2016,
6/17/2016,
6/18/2016,
6/19/2016,
6/20/2016,
6/21/2016,
6/22/2016,
6/23/2016,
6/24/2016,
6/25/2016,
6/26/2016,
6/27/2016,
6/28/2016,
6/29/2016,
7/1/2016,
7/2/2016,
7/3/2016,
7/4/2016,
7/5/2016,
7/6/2016,
